seed,shots,base_noise_level,true_attack,predicted_threat,is_rejected,fidelity,bell_c_zz,tv_x,tv_y,tv_z
45,1000,0.05,IMPERSONATION,IMPERSONATION,True,0.9819999999999997,1.0,0.0,0.0,0.0
46,1000,0.05,IMPERSONATION,IMPERSONATION,True,0.9819999999999997,1.0,0.0,0.0,0.0
42,1000,0.05,REPLAY,REPLAY,True,0.9819999999999997,1.0,0.0,0.0,0.0
43,1000,0.05,REPLAY,REPLAY,True,0.9819999999999997,1.0,0.0,0.0,0.0
44,1000,0.05,REPLAY,REPLAY,True,0.9819999999999997,1.0,0.0,0.0,0.0
45,1000,0.05,REPLAY,REPLAY,True,0.9819999999999997,1.0,0.0,0.0,0.0
46,1000,0.05,REPLAY,REPLAY,True,0.9819999999999997,1.0,0.0,0.0,0.0
42,1000,0.05,CHANNEL_MANIPULATION,NORMAL,False,0.9549999999999997,1.0,0.027000000000000024,0.0,0.0
43,1000,0.05,CHANNEL_MANIPULATION,NORMAL,False,0.9549999999999997,1.0,0.027000000000000024,0.0,0.0
44,1000,0.05,CHANNEL_MANIPULATION,NORMAL,False,0.9549999999999997,1.0,0.027000000000000024,0.0,0.0
45,1000,0.05,CHANNEL_MANIPULATION,NORMAL,False,0.9549999999999997,1.0,0.027000000000000024,0.0,0.0
46,1000,0.05,CHANNEL_MANIPULATION,NORMAL,False,0.9539999999999997,1.0,0.028000000000000025,0.0,0.0
42,1000,0.1,NORMAL,NORMAL,False,0.9699999999999998,1.0,0.0,0.0,0.0
43,1000,0.1,NORMAL,NORMAL,False,0.9699999999999998,1.0,0.0,0.0,0.0
44,1000,0.1,NORMAL,NORMAL,False,0.9699999999999998,1.0,0.0,0.0,0.0
45,1000,0.1,NORMAL,NORMAL,False,0.9699999999999998,1.0,0.0,0.0,0.0
46,1000,0.1,NORMAL,NORMAL,False,0.9689999999999996,1.0,0.0,0.0,0.0
42,1000,0.1,FORGERY,FORGERY,True,0.927,1.0,0.46099999999999997,0.04099999999999998,0.395
43,1000,0.1,FORGERY,FORGERY,True,0.927,1.0,0.46099999999999997,0.04199999999999998,0.394
44,1000,0.1,FORGERY,FORGERY,True,0.927,1.0,0.46099999999999997,0.04299999999999998,0.393
45,1000,0.1,FORGERY,FORGERY,True,0.927,1.0,0.46099999999999997,0.04299999999999998,0.393
46,1000,0.1,FORGERY,FORGERY,True,0.926,1.0,0.46099999999999997,0.04199999999999998,0.392
42,1000,0.1,IMPERSONATION,IMPERSONATION,True,0.9699999999999998,1.0,0.0,0.0,0.0
43,1000,0.1,IMPERSONATION,IMPERSONATION,True,0.9699999999999998,1.0,0.0,0.0,0.0
44,1000,0.1,IMPERSONATION,IMPERSONATION,True,0.9699999999999998,1.0,0.0,0.0,0.0
45,1000,0.1,IMPERSONATION,IMPERSONATION,True,0.9699999999999998,1.0,0.0,0.0,0.0
46,1000,0.1,IMPERSONATION,IMPERSONATION,True,0.9689999999999996,1.0,0.0,0.0,0.0
42,1000,0.1,REPLAY,REPLAY,True,0.9699999999999998,1.0,0.0,0.0,0.0
43,1000,0.1,REPLAY,REPLAY,True,0.9699999999999998,1.0,0.0,0.0,0.0
44,1000,0.1,REPLAY,REPLAY,True,0.9699999999999998,1.0,0.0,0.0,0.0
45,1000,0.1,REPLAY,REPLAY,True,0.9699999999999998,1.0,0.0,0.0,0.0
46,1000,0.1,REPLAY,REPLAY,True,0.9689999999999996,1.0,0.0,0.0,0.0
42,1000,0.1,CHANNEL_MANIPULATION,NORMAL,False,0.9429999999999997,1.0,0.027000000000000024,0.0,0.0
43,1000,0.1,CHANNEL_MANIPULATION,NORMAL,False,0.9429999999999997,1.0,0.027000000000000024,0.0,0.0
44,1000,0.1,CHANNEL_MANIPULATION,NORMAL,False,0.9429999999999997,1.0,0.027000000000000024,0.0,0.0
45,1000,0.1,CHANNEL_MANIPULATION,NORMAL,False,0.9429999999999997,1.0,0.027000000000000024,0.0,0.0
46,1000,0.1,CHANNEL_MANIPULATION,NORMAL,False,0.9419999999999996,1.0,0.027000000000000024,0.0,0.0
42,5000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
43,5000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
44,5000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
45,5000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
46,5000,0.0,NORMAL,NORMAL,False,0.9999999999999997,1.0,0.0,0.0,0.0
42,5000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.507,0.0,0.493
43,5000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.507,0.0,0.493
44,5000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.507,0.0,0.493
45,5000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.507,0.0,0.493
46,5000,0.0,FORGERY,FORGERY,True,1.0,1.0,0.507,0.0,0.493
42,5000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
43,5000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
44,5000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
45,5000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
46,5000,0.0,IMPERSONATION,IMPERSONATION,True,0.9999999999999997,1.0,0.0,0.0,0.0
42,5000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
43,5000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
44,5000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
45,5000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
46,5000,0.0,REPLAY,REPLAY,True,0.9999999999999997,1.0,0.0,0.0,0.0
42,5000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9767999999999997,1.0,0.0232,0.0028000000000000247,0.0028000000000000247
43,5000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9767999999999997,1.0,0.0232,0.0028000000000000247,0.0028000000000000247
44,5000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9767999999999997,1.0,0.0232,0.0028000000000000247,0.0028000000000000247
45,5000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9767999999999997,1.0,0.0232,0.0030000000000000027,0.0030000000000000027
46,5000,0.0,CHANNEL_MANIPULATION,NORMAL,False,0.9767999999999997,1.0,0.0232,0.0031999999999999806,0.0031999999999999806
42,5000,0.01,NORMAL,NORMAL,False,0.9971999999999996,1.0,0.0,0.0,0.0
43,5000,0.01,NORMAL,NORMAL,False,0.9971999999999996,1.0,0.0,0.0,0.0
44,5000,0.01,NORMAL,NORMAL,False,0.9971999999999996,1.0,0.0,0.0,0.0
45,5000,0.01,NORMAL,NORMAL,False,0.9971999999999996,1.0,0.0,0.0,0.0
46,5000,0.01,NORMAL,NORMAL,False,0.9971999999999996,1.0,0.0,0.0,0.0
42,5000,0.01,FORGERY,FORGERY,True,0.9934,1.0,0.5102,0.00880000000000003,0.4892
43,5000,0.01,FORGERY,FORGERY,True,0.9934,1.0,0.51,0.008599999999999997,0.4892
44,5000,0.01,FORGERY,FORGERY,True,0.9934,1.0,0.51,0.008599999999999997,0.4892
45,5000,0.01,FORGERY,FORGERY,True,0.9934,1.0,0.51,0.008799999999999975,0.4894
46,5000,0.01,FORGERY,FORGERY,True,0.9934,1.0,0.51,0.008999999999999952,0.4896
42,5000,0.01,IMPERSONATION,IMPERSONATION,True,0.9971999999999996,1.0,0.0,0.0,0.0
43,5000,0.01,IMPERSONATION,IMPERSONATION,True,0.9971999999999996,1.0,0.0,0.0,0.0
44,5000,0.01,IMPERSONATION,IMPERSONATION,True,0.9971999999999996,1.0,0.0,0.0,0.0
45,5000,0.01,IMPERSONATION,IMPERSONATION,True,0.9971999999999996,1.0,0.0,0.0,0.0
46,5000,0.01,IMPERSONATION,IMPERSONATION,True,0.9971999999999996,1.0,0.0,0.0,0.0
42,5000,0.01,REPLAY,REPLAY,True,0.9971999999999996,1.0,0.0,0.0,0.0
43,5000,0.01,REPLAY,REPLAY,True,0.9971999999999996,1.0,0.0,0.0,0.0
44,5000,0.01,REPLAY,REPLAY,True,0.9971999999999996,1.0,0.0,0.0,0.0
45,5000,0.01,REPLAY,REPLAY,True,0.9971999999999996,1.0,0.0,0.0,0.0
46,5000,0.01,REPLAY,REPLAY,True,0.9971999999999996,1.0,0.0,0.0,0.0
42,5000,0.01,CHANNEL_MANIPULATION,NORMAL,False,0.9749999999999995,1.0,0.022199999999999998,0.0,0.0
43,5000,0.01,CHANNEL_MANIPULATION,NORMAL,False,0.9749999999999995,1.0,0.022199999999999998,0.0,0.0
44,5000,0.01,CHANNEL_MANIPULATION,NORMAL,False,0.9749999999999995,1.0,0.022199999999999998,0.0,0.0
45,5000,0.01,CHANNEL_MANIPULATION,NORMAL,False,0.9749999999999995,1.0,0.022199999999999998,0.0,0.0
46,5000,0.01,CHANNEL_MANIPULATION,NORMAL,False,0.9749999999999995,1.0,0.022199999999999998,0.0,0.0
42,5000,0.02,NORMAL,NORMAL,False,0.9945999999999997,1.0,0.0,0.0,0.0
43,5000,0.02,NORMAL,NORMAL,False,0.9945999999999997,1.0,0.0,0.0,0.0
44,5000,0.02,NORMAL,NORMAL,False,0.9945999999999997,1.0,0.0,0.0,0.0
45,5000,0.02,NORMAL,NORMAL,False,0.9945999999999997,1.0,0.0,0.0,0.0
46,5000,0.02,NORMAL,NORMAL,False,0.9945999999999997,1.0,0.0,0.0,0.0
42,5000,0.02,FORGERY,FORGERY,True,0.9834,1.0,0.5076,0.00880000000000003,0.4792
43,5000,0.02,FORGERY,FORGERY,True,0.9834,1.0,0.5074000000000001,0.008599999999999997,0.4792
44,5000,0.02,FORGERY,FORGERY,True,0.9834,1.0,0.5074000000000001,0.008599999999999997,0.4792
45,5000,0.02,FORGERY,FORGERY,True,0.9834,1.0,0.5074000000000001,0.008799999999999975,0.4794
46,5000,0.02,FORGERY,FORGERY,True,0.9834,1.0,0.5074000000000001,0.008999999999999952,0.47959999999999997
42,5000,0.02,IMPERSONATION,IMPERSONATION,True,0.9945999999999997,1.0,0.0,0.0,0.0
43,5000,0.02,IMPERSONATION,IMPERSONATION,True,0.9945999999999997,1.0,0.0,0.0,0.0
44,5000,0.02,IMPERSONATION,IMPERSONATION,True,0.9945999999999997,1.0,0.0,0.0,0.0
45,5000,0.02,IMPERSONATION,IMPERSONATION,True,0.9945999999999997,1.0,0.0,0.0,0.0
46,5000,0.02,IMPERSONATION,IMPERSONATION,True,0.9945999999999997,1.0,0.0,0.0,0.0
42,5000,0.02,REPLAY,REPLAY,True,0.9945999999999997,1.0,0.0,0.0,0.0
43,5000,0.02,REPLAY,REPLAY,True,0.9945999999999997,1.0,0.0,0.0,0.0
44,5000,0.02,REPLAY,REPLAY,True,0.9945999999999997,1.0,0.0,0.0,0.0
45,5000,0.02,REPLAY,REPLAY,True,0.9945999999999997,1.0,0.0,0.0,0.0
46,5000,0.02,REPLAY,REPLAY,True,0.9945999999999997,1.0,0.0,0.0,0.0
42,5000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9723999999999997,1.0,0.022199999999999998,0.0,0.0
43,5000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9723999999999997,1.0,0.022199999999999998,0.0,0.0
44,5000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9723999999999997,1.0,0.022199999999999998,0.0,0.0
45,5000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9723999999999997,1.0,0.022199999999999998,0.0,0.0
46,5000,0.02,CHANNEL_MANIPULATION,NORMAL,False,0.9723999999999997,1.0,0.022199999999999998,0.0,0.0
42,5000,0.03,NORMAL,NORMAL,False,0.9917999999999997,1.0,0.0,0.0,0.0
43,5000,0.03,NORMAL,NORMAL,False,0.9917999999999997,1.0,0.0,0.0,0.0
44,5000,0.03,NORMAL,NORMAL,False,0.9917999999999997,1.0,0.0,0.0,0.0
45,5000,0.03,NORMAL,NORMAL,False,0.9917999999999997,1.0,0.0,0.0,0.0
46,5000,0.03,NORMAL,NORMAL,False,0.9917999999999997,1.0,0.0,0.0,0.0
42,5000,0.03,FORGERY,FORGERY,True,0.9776,1.0,0.5048,0.00880000000000003,0.47340000000000004
43,5000,0.03,FORGERY,FORGERY,True,0.9776,1.0,0.5045999999999999,0.008599999999999997,0.47340000000000004
44,5000,0.03,FORGERY,FORGERY,True,0.9776,1.0,0.5045999999999999,0.008599999999999997,0.47340000000000004
45,5000,0.03,FORGERY,FORGERY,True,0.9776,1.0,0.5045999999999999,0.008799999999999975,0.4736
46,5000,0.03,FORGERY,FORGERY,True,0.9776,1.0,0.5045999999999999,0.008999999999999952,0.4738
42,5000,0.03,IMPERSONATION,IMPERSONATION,True,0.9917999999999997,1.0,0.0,0.0,0.0
